,name,fuel_type,company,kms_driven,year,Price
110,Jeep,Diesel,HYUNDAI,15713,2013,19025
111,Sedan,CNG,HYUNDAI,311950,2011,2345
112,Minivan,Petrol,TOYOTA,36000,2003,22270
113,Microbus,Diesel,RENAULT,145000,2003,22125
114,Jeep,LPG,JEEP,255000,2005,7799
115,Jeep,Petrol,MITSUBISHI,13000,2002,7299
116,Jeep,Petrol,LEXUS,150909,2019,7999
117,Jeep,Petrol,HONDA,17000,2016,4229
118,Jeep,Petrol,SSANGYONG,6000,2017,4929
119,Jeep,Diesel,TOYOTA,157211,2019,9529
120,Hatchback,Petrol,TOYOTA,3600,2019,13299
121,Microbus,Diesel,FORD,250000,2000,3399
122,Sedan,Diesel,TOYOTA,19760,2019,13299
123,Sedan,Petrol,OPEL,0,1997,17199
124,Sedan,CNG,HYUNDAI,33091,2011,19199
125,Jeep,Petrol,NISSAN,215000,2004,14399
126,Hatchback,Petrol,HONDA,14000,2019,11900
127,Jeep,Petrol,HYUNDAI,49000,2019,13200
128,Sedan,Petrol,DAEWOO,6735,2009,3220
129,Sedan,Diesel,VOLKSWAGEN,74429,2011,1346
130,Jeep,Petrol,HYUNDAI,177040,2019,15540
131,Sedan,Petrol,HONDA,15944,2012,11900
132,Universal,Diesel,HYUNDAI,141274,2015,11195
133,Microbus,Diesel,FORD,200000,1991,17075
134,Hatchback,Petrol,FORD,140000,2011,11130
135,Sedan,Petrol,MERCEDES-BENZ,205914,2016,17950
136,Hatchback,Diesel,HONDA,69992,2015,14150
137,Sedan,Diesel,VOLKSWAGEN,5993,2015,5572
138,Sedan,Diesel,TOYOTA,2320132,2013,7957
139,Jeep,Diesel,TOYOTA,322122,2011,1229
140,Sedan,Diesel,TOYOTA,220550,2009,1192
141,Jeep,Petrol,MERCEDES-BENZ,222000,2016,769
142,Sedan,Petrol,CHEVROLET,22242,2011,4921
143,Sedan,Petrol,HYUNDAI,19044,2011,3712
144,Jeep,Diesel,HYUNDAI,60720,2013,22014
145,Jeep,Petrol,LEXUS,26771,2016,32524
146,Universal,Diesel,HYUNDAI,64599,2015,32024
147,Hatchback,Petrol,HONDA,39121,2017,37024
148,Jeep,Petrol,NISSAN,234995,2011,3300
149,Sedan,Diesel,TOYOTA,204000,2019,9295
150,Jeep,Diesel,BMW,11311,2019,9495
151,Sedan,Diesel,TOYOTA,2260,2013,11450
152,Jeep,Petrol,CHEVROLET,111111,2001,3170
153,Jeep,Diesel,SSANGYONG,117121,2011,15020
154,Sedan,Petrol,FORD,27000,2015,1556
155,Hatchback,Diesel,OPEL,44992,2011,14150
156,Jeep,Petrol,HONDA,11600,2007,14120
157,Jeep,Petrol,FORD,44511,2011,5114
158,Sedan,LPG,MERCEDES-BENZ,200000,1992,7053
159,Jeep,Petrol,AUDI,17000,2017,763
160,Minivan,Diesel,HYUNDAI,2322,2012,731
161,Minivan,Petrol,HONDA,0,2002,7775
162,Sedan,Diesel,TOYOTA,32500,2019,996
163,Minivan,CNG,MERCEDES-BENZ,33224,2002,9233
164,Minivan,Petrol,OPEL,140000,2002,1359
165,Hatchback,Diesel,TOYOTA,200000,2019,7213
166,Jeep,Petrol,LEXUS,15941,2011,6194
167,Jeep,Petrol,LEXUS,255201,2019,4013
168,Sedan,Petrol,HYUNDAI,114520,2019,11192
169,Sedan,Diesel,TOYOTA,0,2011,5324
170,Hatchback,Diesel,TOYOTA,194200,2019,1334
171,Sedan,Petrol,MERCEDES-BENZ,244000,2002,1244
172,Sedan,Petrol,VOLKSWAGEN,151324,2015,1914
173,Hatchback,CNG,VOLKSWAGEN,0,2019,6295
174,Sedan,Petrol,HYUNDAI,2600,2019,3925
175,Sedan,CNG,NISSAN,114000,2005,6325
176,Jeep,Diesel,VOLVO,33000,2019,1745
177,Hatchback,Petrol,OPEL,200000,1993,4911
178,Sedan,CNG,BMW,59733,2013,4911
179,Jeep,Petrol,LEXUS,62907,2015,1624
180,Sedan,Diesel,MERCEDES-BENZ,12291,2011,32250
181,Sedan,CNG,HYUNDAI,300232,2011,35550
182,Sedan,Petrol,DAEWOO,170000,2011,3600
183,Sedan,Diesel,TOYOTA,37515,2014,5195
184,Sedan,Diesel,HYUNDAI,20791,2015,695
185,Hatchback,Diesel,TOYOTA,197324,2011,1795
186,Sedan,Diesel,HYUNDAI,95000,2019,1195
187,Sedan,CNG,HYUNDAI,5331,2015,7395
188,Sedan,Diesel,LEXUS,0,2013,6925
189,Sedan,LPG,MERCEDES-BENZ,21600,1999,11425
190,Sedan,Diesel,MERCEDES-BENZ,14600,2013,13125
191,Jeep,Petrol,NISSAN,173571,2019,15125
192,Sedan,CNG,HYUNDAI,119592,2011,4425
193,Jeep,Petrol,NISSAN,33114,2013,4295
194,Jeep,Petrol,MERCEDES-BENZ,15000,2015,6595
195,Sedan,Diesel,TOYOTA,13000,2013,6225
196,Hatchback,Diesel,TOYOTA,220131,2019,6795
197,Sedan,CNG,MERCEDES-BENZ,39241,2013,1325
198,Sedan,Diesel,MERCEDES-BENZ,39241,2013,7459
199,Coupe,Petrol,FORD,11360,2015,9415
200,Sedan,Petrol,TOYOTA,0,2013,9145
201,Sedan,Diesel,TOYOTA,39000,2019,21315
202,Sedan,CNG,HYUNDAI,1304,2011,31440
203,Sedan,Diesel,MERCEDES-BENZ,0,2001,5151
204,Hatchback,Diesel,HONDA,244702,2011,1295
205,Sedan,CNG,HYUNDAI,2235,2015,1575
206,Jeep,Diesel,BMW,229911,2019,5572
207,Hatchback,Diesel,TOYOTA,3600,2013,1377
208,Sedan,Diesel,MERCEDES-BENZ,32472,2004,7957
209,Jeep,Diesel,HYUNDAI,33000,2015,1229
210,Sedan,CNG,TOYOTA,134000,2002,1192
211,Jeep,Diesel,MITSUBISHI,319500,1997,769
212,Sedan,Petrol,HYUNDAI,95000,2013,4554
213,Jeep,Diesel,HYUNDAI,90351,2016,4921
214,Jeep,Diesel,SSANGYONG,65939,2011,3912
215,Sedan,Petrol,HONDA,117154,2019,1279
216,Sedan,Petrol,HYUNDAI,39241,2015,1455
217,Coupe,Petrol,FIAT,70000,2013,5399
218,Jeep,Petrol,MERCEDES-BENZ,32423,2017,1529
219,Hatchback,Petrol,FORD,34400,2011,739
220,Sedan,Diesel,KIA,150000,2013,7295
221,Sedan,Petrol,HYUNDAI,42022,2015,7295
222,Hatchback,Diesel,CHEVROLET,52012,2017,7495
223,Universal,Diesel,TOYOTA,17071,2013,9095
224,Sedan,Plug-in Diesel,TOYOTA,137000,2019,4425
225,Jeep,Diesel,TOYOTA,214143,2019,6295
226,Hatchback,Petrol,NISSAN,142223,2019,3925
227,Jeep,Diesel,KIA,13931,2011,6325
228,Hatchback,Petrol,TOYOTA,115000,2013,1745
229,Jeep,Diesel,SSANGYONG,35000,2013,4911
230,Sedan,Diesel,TOYOTA,195000,2016,4911
231,Sedan,Diesel,TOYOTA,224400,2016,1624
232,Sedan,Petrol,HONDA,33290,2017,32250
233,Sedan,Diesel,FORD,172119,2013,35550
234,Jeep,Petrol,TOYOTA,14950,2012,3600
235,Coupe,Petrol,HYUNDAI,170320,2016,5195
236,Sedan,Petrol,HYUNDAI,143411,2011,695
237,Jeep,Petrol,BMW,95000,2019,1795
238,Jeep,Diesel,LEXUS,222129,2004,1195
239,Jeep,Diesel,SSANGYONG,19174,2017,7395
240,Universal,Diesel,HYUNDAI,91117,2017,6925
241,Hatchback,Diesel,HONDA,211454,2011,11425
242,Coupe,Petrol,HYUNDAI,1394,2015,13125
243,Jeep,Petrol,TOYOTA,9000,2014,15125
244,Sedan,CNG,HYUNDAI,202507,2013,4425
245,Jeep,Diesel,SSANGYONG,71121,2011,4295
246,Microbus,Diesel,MERCEDES-BENZ,0,1994,6595
247,Sedan,Diesel,HYUNDAI,62121,2011,6225
248,Sedan,CNG,HYUNDAI,533733,2013,6795
249,Jeep,Diesel,LEXUS,232357,2019,1325
250,Sedan,Petrol,VOLKSWAGEN,12000,2011,14240
251,Hatchback,LPG,OPEL,30000,1999,14322
252,Jeep,Petrol,FORD,3000,2011,25552
253,Hatchback,Diesel,CHEVROLET,131493,2013,24224
254,Microbus,Diesel,MERCEDES-BENZ,600,2019,24171
255,Sedan,Petrol,MERCEDES-BENZ,35472,2017,3160
256,Hatchback,Petrol,SUBARU,15500,2019,32142
257,Sedan,Petrol,MERCEDES-BENZ,160,2017,35051
258,Sedan,Petrol,BMW,0,1947,2096
259,Jeep,Petrol,LAND ROVER,13000,2011,25200
260,Jeep,Petrol,LEXUS,155971,2011,11503
261,Jeep,Petrol,BMW,222222,2005,5349
262,Pickup,Petrol,FORD,7000,2014,1149
263,Jeep,Petrol,LEXUS,23152,2011,1119
264,Sedan,Petrol,HYUNDAI,17413,2016,7149
265,Sedan,Petrol,NISSAN,30000,2003,9959
266,Microbus,Diesel,FORD,600,2002,4299
267,Jeep,Petrol,JEEP,250423,2013,3129
268,Jeep,Diesel,SSANGYONG,37925,2011,3419
269,Jeep,Petrol,SUBARU,150000,2019,5572
270,Sedan,Petrol,CHEVROLET,11600,2011,1377
271,Sedan,Petrol,HONDA,25191,2013,7957
272,Jeep,Diesel,SSANGYONG,74922,2004,1229
273,Microbus,Diesel,MERCEDES-BENZ,250000,2001,1192
274,Jeep,Diesel,BMW,26000,2011,769
275,Jeep,Diesel,HYUNDAI,20574,2019,4554
276,Sedan,LPG,VOLKSWAGEN,175000,2003,4921
277,Coupe,Petrol,HYUNDAI,93234,2016,3912
278,Hatchback,Diesel,TOYOTA,64000,2011,1279
279,Jeep,Diesel,HYUNDAI,159113,2016,1455
280,Sedan,Diesel,TOYOTA,16000,2011,9152
281,Jeep,Petrol,SUBARU,232741,2013,4595
282,Hatchback,LPG,OPEL,6000,1992,7542
283,Jeep,Diesel,LEXUS,315270,2016,9452
284,Jeep,Petrol,TOYOTA,92212,2017,7254
285,Sedan,Petrol,VOLKSWAGEN,171390,2013,21315
286,Sedan,Plug-in Diesel,CHEVROLET,33000,2019,31440
287,Sedan,Petrol,CHEVROLET,17235,2013,5151
288,Sedan,Diesel,FORD,37019,2013,1295
289,Jeep,Diesel,BMW,21526,2016,1575
290,Sedan,Petrol,FORD,75000,2013,5572
291,Sedan,Petrol,CHEVROLET,21312,2017,1377
292,Universal,Diesel,HYUNDAI,50212,2011,7957
293,Sedan,Petrol,BMW,79700,2013,1229
294,Sedan,Petrol,NISSAN,114000,1993,1192
295,Sedan,Diesel,LEXUS,15920,2017,769
296,Microbus,Diesel,MERCEDES-BENZ,0,2007,4554
297,Sedan,Diesel,MERCEDES-BENZ,134342,2009,4921
298,Sedan,Petrol,TOYOTA,7216,2016,3912
299,Jeep,Diesel,MERCEDES-BENZ,222114,2019,1279
300,Sedan,Petrol,HYUNDAI,92201,2011,1455
301,Sedan,Petrol,TOYOTA,131224,2013,5399
302,Hatchback,Petrol,AUDI,30507,2013,1529
303,Sedan,Petrol,FORD,60000,2013,739
304,Sedan,Diesel,TOYOTA,61192,2019,7295
305,Jeep,Petrol,TOYOTA,170125,2019,7295
306,Hatchback,Diesel,TOYOTA,115000,2016,7495
307,Sedan,Petrol,MERCEDES-BENZ,50930,2017,9095
308,Sedan,Petrol,TOYOTA,39194,2012,4425
309,Microbus,Diesel,FORD,222000,2003,6295
310,Jeep,Petrol,SUBARU,111154,2016,3925
311,Jeep,Petrol,MERCEDES-BENZ,19000,2019,6325
312,Sedan,Petrol,HYUNDAI,67000,2013,1745
313,Sedan,Petrol,VOLKSWAGEN,150000,2019,4911
314,Sedan,Petrol,TOYOTA,55371,2019,4911
315,Sedan,Petrol,TOYOTA,223032,2009,1624
316,Coupe,Petrol,AUDI,140000,2003,32250
317,Sedan,Diesel,CHEVROLET,502013,2009,35550
318,Jeep,Diesel,CHEVROLET,31592,2011,3600
319,Jeep,Petrol,CHEVROLET,90000,2015,5195
320,Microbus,Diesel,FORD,157200,2007,695
321,Universal,Petrol,SUBARU,6000,2000,1795
322,Coupe,Petrol,MERCEDES-BENZ,113200,2019,1195
323,Jeep,Petrol,MITSUBISHI,90000,2019,7395
324,Jeep,Petrol,TOYOTA,92212,2017,6925
325,Sedan,Diesel,TOYOTA,9121,2012,11425
326,Hatchback,Petrol,DAIHATSU,6600,2019,13125
327,Minivan,Diesel,MERCEDES-BENZ,222000,2004,15125
328,Sedan,Diesel,TOYOTA,150000,2019,4425
329,Jeep,Diesel,HYUNDAI,23415,2020,4295
330,Sedan,Petrol,TOYOTA,245141,2019,6595
331,Jeep,Petrol,TOYOTA,12000,2015,6225
332,Sedan,Petrol,FIAT,3132,2019,6795
333,Sedan,CNG,HYUNDAI,357150,2013,1325
334,Hatchback,Diesel,CHEVROLET,4320,2017,14240
335,Jeep,Diesel,LEXUS,31163,2013,14322
336,Microbus,Diesel,MERCEDES-BENZ,0,2000,25552
337,Microbus,Diesel,MERCEDES-BENZ,157000,2019,24224
338,Sedan,Petrol,VOLKSWAGEN,17400,2011,24171
339,Jeep,Diesel,LAND ROVER,1135,2011,3160
340,Sedan,Petrol,HYUNDAI,34940,2011,32142
341,Sedan,Petrol,TOYOTA,52307,2012,35051
342,Cabriolet,Petrol,CHEVROLET,27000,2013,2096
343,Sedan,Diesel,MERCEDES-BENZ,234521,2013,25200
344,Universal,Diesel,HYUNDAI,144000,2017,11503
345,Sedan,Petrol,HYUNDAI,173723,2013,5349
346,Jeep,Petrol,MERCEDES-BENZ,17542,2011,1149
347,Minivan,CNG,HONDA,197000,2005,1119
348,Goods wagon,Diesel,FORD,25607,2001,7149
349,Sedan,Petrol,FORD,34000,2013,9959
350,Minivan,Diesel,HYUNDAI,37241,2013,4299
351,Hatchback,Diesel,CHEVROLET,134291,2013,3129
352,Jeep,Petrol,LEXUS,1600,2011,3419
353,Hatchback,LPG,MAZDA,145000,2003,4911
354,Hatchback,Diesel,OPEL,155177,2002,1624
355,Sedan,Petrol,LEXUS,152254,2013,32250
356,Sedan,Petrol,BMW,140000,2009,35550
357,Minivan,LPG,NISSAN,200000,2005,3600
358,Minivan,Diesel,MERCEDES-BENZ,150000,2007,5195
359,Sedan,Petrol,CHEVROLET,153900,2011,695
360,Hatchback,Petrol,TOYOTA,17600,2019,1795
361,Sedan,Petrol,HYUNDAI,135521,2011,1195
362,Universal,Diesel,FORD,237000,2002,7395
363,Coupe,Petrol,BMW,32000,2002,6925
364,Sedan,Petrol,MERCEDES-BENZ,12000,2019,11425
365,Hatchback,Diesel,TOYOTA,13000,2019,13125
366,Jeep,Diesel,SSANGYONG,7273,2015,15125
367,Sedan,Petrol,HYUNDAI,3311,2009,4425
368,Jeep,Diesel,MERCEDES-BENZ,0,2011,4295
369,Jeep,Petrol,HONDA,277451,2019,6595
370,Coupe,Petrol,BMW,222000,2002,6225
371,Jeep,Petrol,LEXUS,200000,2002,6795
372,Sedan,Diesel,HYUNDAI,0,2011,1325
373,Coupe,Diesel,TOYOTA,142022,2004,14240
374,Sedan,Petrol,CHEVROLET,17000,2014,14322
375,Sedan,Petrol,TOYOTA,21502,2012,25552
376,Jeep,Diesel,MERCEDES-BENZ,141522,2011,24224
377,Jeep,Diesel,LEXUS,27034,2011,24171
378,Jeep,Petrol,SSANGYONG,2416,2011,3160
379,Jeep,Petrol,KIA,47000,2013,32142
380,Coupe,Petrol,MERCEDES-BENZ,0,2001,35051
381,Sedan,Diesel,TOYOTA,69000,2019,2096
382,Sedan,Petrol,DAEWOO,52020,2009,25200
383,Sedan,Petrol,VOLKSWAGEN,94775,2015,11503
384,Sedan,Petrol,MERCEDES-BENZ,160,2017,5349
385,Hatchback,Diesel,TOYOTA,201600,2019,1149
386,Sedan,Diesel,HYUNDAI,211924,2015,1119
387,Sedan,Petrol,HYUNDAI,6000,2013,7149
388,Sedan,Diesel,TOYOTA,145000,2004,9959
389,Sedan,Petrol,MERCEDES-BENZ,229902,2016,4299
390,Goods wagon,Diesel,OPEL,222000,2003,3129
391,Hatchback,Petrol,VOLKSWAGEN,170000,2000,3419
392,Sedan,Petrol,HYUNDAI,15416,2011,3249
393,Jeep,Diesel,FORD,114911,2011,1949
394,Jeep,Diesel,TOYOTA,39721,2011,4149
395,Jeep,LPG,FORD,217000,2001,9279
396,Sedan,Petrol,HYUNDAI,112111,2011,9279
397,Jeep,Diesel,LEXUS,43324,2007,5299
398,Sedan,Petrol,HYUNDAI,117541,2019,7099
399,Sedan,Petrol,HYUNDAI,90021,2013,4295
400,Sedan,CNG,HYUNDAI,242099,2011,9295
401,Sedan,Diesel,TOYOTA,252200,2004,9995
402,Sedan,Diesel,HONDA,11600,2016,11595
403,Sedan,Diesel,HYUNDAI,141923,2019,9940
404,Universal,Diesel,OPEL,231713,2001,13295
405,Sedan,Petrol,TOYOTA,9231,2019,13425
406,Universal,Diesel,HYUNDAI,231332,2019,3290
407,Jeep,LPG,LINCOLN,254932,2002,3920
408,Jeep,Petrol,SUBARU,65523,2013,13215
409,Hatchback,Diesel,CHEVROLET,1333,2013,15945
410,Jeep,LPG,MERCEDES-BENZ,115000,2002,11515
411,Jeep,Petrol,MERCEDES-BENZ,1600,2011,14220
412,Hatchback,Diesel,TOYOTA,154000,2013,14950
413,Minivan,Diesel,HYUNDAI,9256,2013,11425
414,Sedan,Petrol,KIA,25000,2011,19025
415,Sedan,Petrol,TOYOTA,90000,2016,2345
416,Sedan,Petrol,DODGE,160,2017,13200
417,Hatchback,Diesel,HONDA,14733,2016,3220
418,Jeep,Petrol,NISSAN,250000,2003,1346
419,Sedan,Diesel,TOYOTA,49000,2011,15540
420,Sedan,Petrol,SKODA,600,2007,11900
421,Hatchback,Petrol,TOYOTA,33000,2019,11195
422,Sedan,Diesel,MERCEDES-BENZ,34202,2019,17075
423,Sedan,Petrol,MERCEDES-BENZ,205914,2016,11130
424,Sedan,Petrol,TOYOTA,0,2013,17950
425,Goods wagon,Diesel,OPEL,132000,2013,14150
426,Sedan,Diesel,TOYOTA,114000,2016,5572
427,Sedan,CNG,HYUNDAI,12300,2015,6194
428,Sedan,Petrol,HYUNDAI,3600,2013,9944
429,Jeep,Diesel,CHEVROLET,177457,2013,6494
430,Coupe,Petrol,FORD,79721,2015,1324
431,Jeep,Petrol,FORD,12421,2013,11554
432,Sedan,Diesel,TOYOTA,151514,2019,15994
433,Sedan,Petrol,FORD,200132,2013,15190
434,Sedan,CNG,HYUNDAI,312414,2015,15750
435,Jeep,Diesel,TOYOTA,314217,2004,7775
436,Sedan,Petrol,HYUNDAI,93415,2016,7975
437,Jeep,LPG,LEXUS,314000,2003,7995
438,Universal,Diesel,HYUNDAI,67000,2015,4195
439,Jeep,Petrol,TOYOTA,239322,2013,4295
440,Jeep,Petrol,MERCEDES-BENZ,55702,2017,9295
441,Minivan,Diesel,HYUNDAI,25521,2012,9995
442,Jeep,Diesel,MERCEDES-BENZ,35227,2019,11595
443,Jeep,Diesel,KIA,3344,2011,9940
444,Sedan,Petrol,KIA,53052,2015,13295
445,Hatchback,Diesel,TOYOTA,170000,2019,13425
446,Sedan,CNG,CHEVROLET,50000,2019,3290
447,Hatchback,Diesel,LEXUS,111419,2011,3920
448,Sedan,Petrol,FORD,132244,2011,13215
449,Sedan,Petrol,HYUNDAI,69471,2017,15945
450,Sedan,Diesel,MERCEDES-BENZ,223272,2011,11515
451,Jeep,Petrol,NISSAN,5026,2015,14220
452,Jeep,Diesel,HYUNDAI,45727,2011,14950
453,Jeep,Petrol,BMW,33200,2019,11425
454,Hatchback,Plug-in Diesel,CHEVROLET,62379,2017,19025
455,Sedan,Petrol,MERCEDES-BENZ,0,1994,2345
456,Microbus,Diesel,FORD,0,2009,22270
457,Jeep,Diesel,BMW,213195,2011,22125
458,Hatchback,Petrol,HONDA,30000,2007,21315
459,Sedan,Petrol,LINCOLN,40240,2011,31440
460,Hatchback,Petrol,VOLKSWAGEN,3251,1995,5151
461,Jeep,CNG,LEXUS,213190,2004,1295
462,Sedan,Petrol,TOYOTA,60000,2019,1575
463,Sedan,Petrol,HYUNDAI,15522,2014,5572
464,Sedan,Petrol,MERCEDES-BENZ,170000,1994,1377
465,Sedan,Petrol,CHEVROLET,177527,2013,7957
466,Sedan,Petrol,HONDA,114000,2016,1229
467,Sedan,Petrol,NISSAN,30000,2013,1192
468,Sedan,Petrol,HYUNDAI,53273,2013,769
469,Sedan,Petrol,HYUNDAI,23011,2011,4554
470,Hatchback,Diesel,TOYOTA,147000,2013,4921
471,Minivan,Diesel,HYUNDAI,13219,2016,3912
472,Sedan,Diesel,TOYOTA,0,2013,1279
473,Jeep,Diesel,TOYOTA,321733,2016,1455
474,Sedan,Diesel,LEXUS,75229,2012,5399
475,Jeep,LPG,MERCEDES-BENZ,145441,2016,1529
476,Jeep,Diesel,HYUNDAI,33412,2019,739
477,Jeep,Petrol,LEXUS,275220,2016,7295
478,Jeep,Petrol,LEXUS,357221,2016,7295
479,Jeep,Diesel,LEXUS,61411,2011,7495
480,Jeep,Petrol,TOYOTA,154470,2013,9095
481,Jeep,Petrol,SSANGYONG,23012,2017,4425
482,Sedan,Petrol,SUZUKI,151357,2011,6295
483,Hatchback,Petrol,HONDA,95000,2009,3925
484,Jeep,Diesel,TOYOTA,22164,2003,6325
485,Sedan,Petrol,HYUNDAI,131291,2016,1745
486,Sedan,Petrol,NISSAN,140411,2013,4911
487,Jeep,Diesel,CHEVROLET,13994,2007,4911
488,Sedan,LPG,MERCEDES-BENZ,247000,1991,1624
489,Jeep,Petrol,TOYOTA,214000,2016,32250
490,Jeep,Diesel,HYUNDAI,39272,2017,35550
491,Sedan,Petrol,HYUNDAI,114000,2011,3600
492,Sedan,CNG,HYUNDAI,195512,2015,5195
